gt_id,speed_kmh_mean,speed_kmh_median,speed_kmh_max,n_samples
1,19.796201945705846,18.281323090195666,34.177855253219576,22
2,20.15983347188342,19.654022008180714,31.890947520732855,22
3,19.695951171219352,18.294474631547914,32.17686563730238,20
4,22.798788617638987,20.154764950275403,34.8333469033241,17
5,23.249328099191196,20.5094066262245,36.87947273254392,18
6,20.19319655863862,18.772075474262223,32.675858438014956,19
7,20.846694845706217,19.022718518972383,37.16284811496732,20
8,20.614383760839708,18.43756377697011,61.16470813751216,20
9,22.81813995226433,20.67964643240019,33.98155510425565,19
10,21.597209852188847,20.367971733212435,34.537222981452146,20
11,22.211751304566892,22.66655780375001,38.858157098294136,18
12,23.929549604654333,22.280551046133006,36.95030182599936,18
13,25.9634150862694,25.730734169483735,38.97285640239799,15
14,21.249704137444514,19.533440619707527,31.098818778990985,18
15,25.923248939216037,26.551003307104068,69.24562990665277,18
16,21.158120110631064,20.244774520396625,31.76779121160575,18
17,24.258945956826203,22.3162807524199,38.72718214988447,18
18,23.09891592711209,20.49215197563131,45.79579532146145,18
19,19.85689192637789,19.78364512324375,31.9524478912332,20
20,24.875186756253242,23.04438516497661,38.75867128371931,18
22,26.505809845402812,25.64817979931886,39.81848984956473,16
24,21.15162961184978,19.326874315738237,34.938030838967116,18
25,21.99538726359612,21.250408440827865,33.763234019280205,18
26,24.46559205651274,23.03587988018935,37.09547370671975,18
27,21.416387483477546,20.052523836493044,33.161713778973336,18
28,24.277119794860607,22.609171941875978,37.97468841075978,16
29,22.02088359743355,20.420586615801295,35.64114242791889,18
30,24.253643304109506,21.67717203497933,38.89221578835833,18
31,23.765121056314936,23.326638042923143,36.238792240620434,17
32,0.6909787885527827,0.4684037994593482,4.677942842246033,541
33,7.189373493124233,6.6329526901258316,13.40414643287449,53
34,7.98525424674198,7.127225641160853,13.686160594227653,6
35,9.817191065167595,8.919327668847428,48.10665249823772,46
36,11.700279877546212,9.737773239611057,55.983259677878216,37
37,10.447297884445403,9.758855737745957,22.72679150104975,38
38,9.677278245596753,9.458379596471945,16.900580227378395,46
39,19.556720986962354,18.2258409261675,31.967020332819626,20
40,11.375774312764404,10.41709095239662,17.707372605804153,34
41,16.764552416279784,15.859977006909752,29.4611907005264,24
42,22.986068717743276,21.496165841822133,36.72268688679472,19
43,13.25284762680542,11.752537004649989,21.159745752815642,30
44,14.029983279520032,12.549605369570369,25.636247992520666,29
45,19.96696161275576,18.443992361426872,31.352531611914504,22
46,15.520130628003436,14.061411023137756,26.384224891658473,26
48,23.819834664463993,21.885534077887122,36.49619042872812,18
49,22.641026303172342,21.604667901989423,45.173549652092554,18
50,21.0365395620464,19.298483133316644,31.012832522387427,18
51,19.621854392811475,18.210996910930206,33.42298775910809,20
52,22.923687534297404,25.348755419259344,33.00498962401828,17
53,25.06319545647657,23.02843272686463,39.984196722515435,17
54,22.539942667764567,20.47892197966983,35.01608312129427,17
55,21.888673976063643,22.416229248051337,34.92869675160149,18
56,22.752538025378936,21.43296495080421,34.89697158336094,19
57,22.339096896350505,21.337940990925144,33.81707131863313,20
58,22.074090201746007,19.812860414386094,53.436668515197034,22
59,21.164824888109724,18.892398029562855,32.314851880068495,18
60,20.143361573941025,19.039051830772376,31.26562267541397,19
61,24.437330190680424,21.75377056002277,62.13755071162207,19
62,21.36814756237922,17.435558885333197,56.58845186232636,23
63,21.33554432541125,19.85474780201968,34.35937106610028,18
64,21.034182129161792,19.73762512206723,39.88586694001528,21
65,19.025894318308353,16.70160323381163,30.37885218858244,21
66,19.93181345052997,21.02913960814894,35.15755087136673,19
67,20.524593324146633,21.73620946705774,33.97258847952565,22
68,19.03200065850178,17.38252356648791,32.7438122034138,21
69,23.496264419518553,21.669525727633975,34.171329438681035,16
70,20.991273187100347,20.290098488334877,35.01783728599001,20
71,20.238959597129668,19.48581665754706,31.335673928255904,19
72,20.380648151040415,18.528173491362445,42.289641201504544,18
73,21.30758601640004,18.652174025764463,32.8663945197891,21
74,23.201089389622123,21.126159802083404,37.153715193279034,18
75,7.806075061586879,7.541118487711864,12.140312343838247,55
76,8.452471070315429,7.940439730884224,13.559292107823207,46
77,9.51837251186392,9.918242320420331,13.591041415932498,25
78,11.87430933923335,11.820107549431292,22.051629871134377,37
79,8.6379561602431,9.07966241240682,13.944744318726453,25
80,12.017129204236124,10.117573700847254,51.44966125489305,40
81,13.287517855642061,13.380160108211319,20.852319002140824,32
82,10.958083755203788,10.518666207792467,18.06560978292495,35
83,17.341495362612356,17.741144299510673,21.99615508318385,13
84,24.976870137102278,23.397630751137623,39.28688675165958,17
86,22.10616548359366,21.291954517360974,38.300539255149836,20
87,19.580107938498713,17.566566690799945,31.630751788622472,20
88,21.473577842116825,20.240586921576714,35.561263561255856,18
89,19.07616502046566,17.817577198144736,30.35981923340198,20
90,22.259047618684672,21.806899756182005,41.31581425667631,17
91,22.304465353488677,20.839074924585177,36.33569777012594,20
92,19.874332655220226,19.967036470774808,33.56251090763283,20
93,21.33705846965329,19.606111049649357,34.55552369354388,18
94,21.937082983553868,20.708015486594782,34.79226887224325,20
95,23.105451333173125,20.840352326635692,39.7651568055232,17
96,17.93822838501531,16.106907874348984,29.77704763413068,22
97,21.76844831183534,21.38947360217997,39.36608165503332,20
98,20.00940119102582,18.267739713195624,30.765554308897418,20
99,19.468695882707557,18.113080859181505,29.929525852209323,20
100,32.29787886142586,33.25197011230675,33.914073407656744,3
101,21.742789521813407,20.670775026079948,36.40127509833106,18
102,21.17214094651419,20.45172840357234,33.003712892538914,19
104,19.230063199997584,17.41146527231086,30.686217248445896,20
105,22.218205276876326,20.385188832876096,33.19510996342366,20
106,17.99870067409145,17.535354495039552,28.49207639694781,21
107,21.25169350632599,19.617475569238163,32.937250435358884,21
108,18.063059901311274,17.58838042616582,34.2461657524177,22
109,19.664523527025967,18.00745613873363,28.472391664967276,20
110,22.431025385857193,20.98863221704604,39.40690487623999,20
111,23.45156962318065,21.64016358554794,44.01172667742651,14
113,22.336403639987186,22.393225952979,38.287240862826785,20
114,20.43633899465203,19.470676258203053,48.74513626099603,20
115,28.484775323419417,23.63650426269048,112.6109790801426,20
116,19.25647957250516,19.003362357620205,30.89270174503941,20
117,24.98985503064999,20.316103845824337,57.00973570347967,19
118,20.68869277834867,19.064726606015185,31.617600917822454,18
119,19.568844337016014,17.458091452721256,31.347990632063425,20
120,19.768647484481534,18.770150318738853,33.76593232155518,20
121,22.628775335847823,21.574214771386156,35.48581838605973,20
122,24.424339681864186,21.581902652975533,39.285508096225925,18
123,1.0566380381124387,0.48168794251953756,55.50499498845251,537
124,8.090472066944075,5.943464711305439,60.444599389998984,55
125,7.260971693321951,6.981911100448572,12.919715344899245,54
127,10.856714179738782,9.458651505419274,47.73181915280761,40
128,7.503502769395433,7.083591297265244,13.969613760702616,52
129,12.806087069213767,12.081740945580169,21.738385409136516,30
131,25.881309596931793,23.15495252611359,43.09257119897947,17
132,19.26205722615233,19.3235349655191,42.243252396621976,20
133,24.124815762043426,22.397638186817282,38.255470097045404,18
134,19.33157502114763,16.78225792944759,28.72755557301273,20
135,26.016136172572402,27.120858728871777,68.78233730799255,19
136,23.273036267074403,22.959676980960545,78.29832673068809,21
137,17.933510318398064,16.090298295024503,32.30370730160015,22
138,41.010462194686525,31.702440530045507,120.22279858600108,10
139,22.48550782352609,20.403321236377188,47.07044541833377,20
140,27.129331474242104,26.735481619821222,76.61779940124407,19
141,19.312168367206336,18.29190306364554,30.09293407200228,20
142,23.852879479526983,21.388112381089712,36.584073007140056,18
143,21.884971050655828,20.04422843455243,37.02372729781658,17
144,20.039322540165138,21.024845391515452,32.92818725112095,20
145,21.923205852508083,20.769807547320234,32.979492545111,18
146,21.365371406078207,20.50217874347115,34.49742704633036,20
147,21.62637270614511,20.301341637972463,37.80156791213613,20
148,23.556605055926656,22.559303641339792,38.63293468950202,15
149,17.3746594171171,15.97109153865951,27.758889198289022,23
151,26.815699391505103,21.50061294435355,67.12287604805374,17
152,22.402297705411033,19.777622222890272,38.361849188785,18
153,23.32052408864716,22.548231482494263,34.23623621466889,19
154,26.179793123156582,25.069529414181716,41.69840723274005,16
155,21.397616006434607,21.06881283222551,36.52717262504616,18
156,29.44068232407883,27.850253283963262,43.393584787823414,13
157,21.801852844655443,20.4309902340219,36.41571611169312,18
158,24.36314694583332,22.858336418872092,40.89366137979323,18
159,16.010375627875348,15.493666380635919,25.334944725059664,25
160,23.849729821086143,22.323304787266757,37.0844712853242,16
161,23.724422082304393,22.277334406960534,37.44513183835575,18
162,21.848320540040312,21.05281747878058,34.39649015663294,20
163,20.950382116592465,19.66140076517053,33.358775675279716,19
164,17.217746720365692,17.180117368713745,30.00862687824621,23
165,24.740710211425203,24.269820749747257,53.67511153218385,19
166,23.65436375141045,24.704193770907935,64.05496001240314,19
167,20.820051740321883,21.108437776554755,35.28538227079493,21
168,21.130381775528896,21.366346925486123,46.66562497613427,19
169,22.200224995612448,22.307790890356326,33.026047647029394,18
170,21.957006920128308,18.92199017107738,76.29441082473666,18
171,0.5799168540396884,0.45710097067034705,5.622347630557522,657
172,6.526592415757579,6.408956721430886,10.739155188212624,60
173,6.180260703499836,6.083272844554196,9.596381261953498,70
174,12.414808633125123,10.32346710563645,46.619083285374124,41
175,9.461186078793402,8.877011463054147,17.878105938425456,47
176,11.58863693249187,10.02238713204348,41.5895417332732,37
177,10.585504965140014,9.677554965014275,27.985621690735805,39
178,11.60369838971305,12.309354543679616,22.64883309601579,14
179,12.901691811857376,11.721972897642814,40.1680782437119,32
180,8.696191077145754,9.165583625437648,20.74453979732493,34
181,11.794602132746041,12.71820701658075,19.41870912911274,38
182,13.83328053701059,12.728261947633968,28.474220931515433,28
183,13.13472995644114,12.266252785914821,21.738122552622166,34
184,10.03722116789411,9.786915332073928,15.569948405019424,34
185,14.71356717248806,12.659480720751962,25.357354581343078,27
186,15.75692906230736,13.950480893247143,37.12512016299763,30
187,12.565172732575174,10.564644299457147,23.919811248801054,32
188,15.434943759440957,13.467295020830958,26.06750696896173,25
189,14.319685059784545,12.78952762483896,52.438060641261934,25
190,17.56974664827156,15.60602545737422,48.555348515485726,27
191,17.178772589566144,16.96836903690424,55.85281848912551,25
192,18.95497372921981,17.021554559460515,35.4630464315737,17
194,21.726985584944423,19.930626153950392,35.88203161958143,20
196,29.478446692229305,29.002334475523455,37.65684932473747,8
197,21.0876193083818,20.34540630875977,33.043216466933735,20
