frame_idx,track_id,class_id,class_name,conf,x1,y1,x2,y2,cx,cy_bottom,bbox_w,bbox_h
0,1,0,car,0.9315556287765503,1239.673828125,296.89398193359375,1794.3076171875,739.2925415039062,1516.99072265625,739.2925415039062,554.6337890625,442.3985595703125
1,1,0,car,0.9374815225601196,1238.7884521484375,296.1524353027344,1794.5794677734375,737.4231567382812,1516.6839599609375,737.4231567382812,555.791015625,441.2707214355469
2,1,0,car,0.9337185621261597,1238.9818115234375,296.309326171875,1794.0579833984375,737.4092407226562,1516.5198974609375,737.4092407226562,555.076171875,441.09991455078125
3,1,0,car,0.9331274628639221,1239.0963134765625,296.6210632324219,1794.3951416015625,737.2943115234375,1516.7457275390625,737.2943115234375,555.298828125,440.6732482910156
4,1,0,car,0.9363998770713806,1241.1773681640625,297.78759765625,1796.37353515625,740.6378173828125,1518.7754516601562,740.6378173828125,555.1961669921875,442.8502197265625
5,1,0,car,0.9362636804580688,1242.3970947265625,298.0132751464844,1795.7359619140625,740.0040283203125,1519.0665283203125,740.0040283203125,553.3388671875,441.9907531738281
6,1,0,car,0.9361436367034912,1242.80029296875,298.1191711425781,1795.4454345703125,739.197998046875,1519.1228637695312,739.197998046875,552.6451416015625,441.0788269042969
7,1,0,car,0.9367051720619202,1242.8114013671875,298.36572265625,1795.501953125,738.1863403320312,1519.1566772460938,738.1863403320312,552.6905517578125,439.82061767578125
8,1,0,car,0.9350385069847107,1242.494140625,297.946044921875,1795.30126953125,739.06005859375,1518.897705078125,739.06005859375,552.80712890625,441.114013671875
9,1,0,car,0.9345265030860901,1241.8912353515625,297.6632995605469,1795.0858154296875,738.9219360351562,1518.488525390625,738.9219360351562,553.194580078125,441.2586364746094
10,1,0,car,0.9321556687355042,1242.126220703125,297.2667236328125,1794.4013671875,737.8806762695312,1518.2637939453125,737.8806762695312,552.275146484375,440.61395263671875
11,1,0,car,0.9319431185722351,1242.798828125,297.32489013671875,1794.277587890625,737.3375244140625,1518.5382080078125,737.3375244140625,551.478759765625,440.01263427734375
12,1,0,car,0.932174026966095,1243.166015625,297.6451416015625,1794.677734375,736.5061645507812,1518.921875,736.5061645507812,551.51171875,438.86102294921875
13,1,0,car,0.9328701496124268,1243.6455078125,297.5083923339844,1794.7320556640625,736.3224487304688,1519.1887817382812,736.3224487304688,551.0865478515625,438.8140563964844
14,1,0,car,0.9337258338928223,1243.7752685546875,297.25152587890625,1794.5965576171875,736.1466064453125,1519.1859130859375,736.1466064453125,550.8212890625,438.89508056640625
15,1,0,car,0.9330872297286987,1243.8057861328125,297.13836669921875,1794.5145263671875,736.2529907226562,1519.16015625,736.2529907226562,550.708740234375,439.1146240234375
16,1,0,car,0.9323553442955017,1243.910400390625,296.835693359375,1794.325927734375,736.4442749023438,1519.1181640625,736.4442749023438,550.41552734375,439.60858154296875
17,1,0,car,0.9318678379058838,1244.133056640625,297.0068054199219,1794.5748291015625,736.5369262695312,1519.3539428710938,736.5369262695312,550.4417724609375,439.5301208496094
18,1,0,car,0.931821346282959,1244.2860107421875,297.0799255371094,1794.2562255859375,736.3770141601562,1519.2711181640625,736.3770141601562,549.97021484375,439.2970886230469
19,1,0,car,0.9307960867881775,1244.693115234375,297.2098693847656,1794.0592041015625,736.244384765625,1519.3761596679688,736.244384765625,549.3660888671875,439.0345153808594
20,1,0,car,0.9304087162017822,1244.544189453125,297.40252685546875,1793.98291015625,736.5234375,1519.2635498046875,736.5234375,549.438720703125,439.12091064453125
21,1,0,car,0.9313052296638489,1244.3818359375,297.403076171875,1794.19970703125,736.00634765625,1519.290771484375,736.00634765625,549.81787109375,438.603271484375
22,1,0,car,0.9312219023704529,1241.8087158203125,295.6934509277344,1793.754150390625,736.5817260742188,1517.7814331054688,736.5817260742188,551.9454345703125,440.8882751464844
23,1,0,car,0.9356150031089783,1241.2130126953125,294.908203125,1793.9521484375,736.4576416015625,1517.5825805664062,736.4576416015625,552.7391357421875,441.5494384765625
23,2,0,car,0.7622369527816772,1244.584228515625,302.4504089355469,1499.300048828125,728.9397583007812,1371.942138671875,728.9397583007812,254.7158203125,426.4893493652344
24,1,0,car,0.9375925660133362,1241.44580078125,294.68292236328125,1793.4747314453125,736.7327880859375,1517.4602661132812,736.7327880859375,552.0289306640625,442.04986572265625
24,2,0,car,0.8046541213989258,1244.61572265625,302.1997375488281,1497.9757080078125,728.5726318359375,1371.2957153320312,728.5726318359375,253.3599853515625,426.3728942871094
25,1,0,car,0.934494137763977,1241.1856689453125,294.9317932128906,1792.92919921875,736.4857788085938,1517.0574340820312,736.4857788085938,551.7435302734375,441.5539855957031
25,2,0,car,0.6929355263710022,1244.5523681640625,302.39471435546875,1496.8314208984375,728.6321411132812,1370.69189453125,728.6321411132812,252.279052734375,426.2374267578125
26,1,0,car,0.9355866312980652,1241.005859375,294.9913330078125,1792.93408203125,736.4902954101562,1516.969970703125,736.4902954101562,551.92822265625,441.49896240234375
26,2,0,car,0.7086362838745117,1244.5198974609375,302.33538818359375,1496.4710693359375,728.9117431640625,1370.4954833984375,728.9117431640625,251.951171875,426.57635498046875
27,1,0,car,0.9371482729911804,1241.26171875,294.8975830078125,1793.205078125,736.2137451171875,1517.2333984375,736.2137451171875,551.943359375,441.316162109375
27,2,0,car,0.650807797908783,1244.7789306640625,301.9530029296875,1496.0101318359375,729.0264282226562,1370.39453125,729.0264282226562,251.231201171875,427.07342529296875
28,1,0,car,0.9327894449234009,1240.861083984375,295.11102294921875,1793.1259765625,736.29345703125,1516.9935302734375,736.29345703125,552.264892578125,441.18243408203125
29,1,0,car,0.9340821504592896,1241.2293701171875,294.82440185546875,1793.0762939453125,736.87890625,1517.15283203125,736.87890625,551.846923828125,442.05450439453125
30,1,0,car,0.9354857206344604,1241.23828125,294.567138671875,1793.1287841796875,737.0847778320312,1517.1835327148438,737.0847778320312,551.8905029296875,442.51763916015625
