gt_id,speed_kmh_mean,speed_kmh_median,speed_kmh_max,n_samples
1,47.53547889265147,43.89789104461673,82.06929802894585,22
2,48.40864424001086,47.19408720731758,76.57788276672358,22
3,47.2947505787015,43.92946466803547,77.26445853710169,20
4,54.74541343310301,48.39647054672237,83.64328265190117,17
5,55.82726910710336,49.2480424046516,88.55655848979943,18
6,48.48875674762223,45.07628738880154,78.46261203289026,19
7,50.05796337872743,45.6781697273254,89.23697590827935,20
8,49.500130556523814,44.27305698394822,146.87128543853748,20
9,54.79188624181244,49.65681374073135,81.59798026084893,19
10,51.86013230681425,48.90843182802192,82.93221831321524,20
11,53.33579495549209,54.427894949912954,93.30785036087237,18
12,57.46064648032195,53.5010012984275,88.72666954993997,18
13,62.34444952011115,61.78569853305949,93.58324885368548,15
14,51.025690436363256,46.90452128648858,74.67577815055675,18
15,62.248004376888034,63.75540018081655,166.2755441665611,18
16,50.805772095918826,48.612601608036606,76.28215312957926,18
17,58.25160920619962,53.58680516481273,92.99334526061384,18
18,55.46609237790104,49.206623733042704,109.96681451796744,18
19,47.68121049553127,47.50532269477946,76.7255759239145,20
20,59.731351882219315,55.335149466992604,93.06891918181745,18
22,63.64687515422696,61.58749133348597,95.61380982398342,16
24,50.79018756747246,46.40850573778046,83.89467000961483,18
25,52.81625248491778,51.027382314204075,81.07372641563589,18
26,58.74781563878037,55.3147405385958,89.0752065181672,18
27,51.42593547701824,48.15097063779723,79.62931394577197,18
28,58.29524807631999,54.29010182618991,91.18642687797741,16
29,52.87747681140895,49.034774601460555,85.58298647403139,18
30,58.23887437582,52.05214709043614,93.38964700697393,18
31,57.06581375178206,56.01291418074686,87.0180648565311,17
32,1.6592054909540528,1.1247628089040758,11.2328747659944,541
33,17.26342795732997,15.927332639697383,32.18661278485749,53
34,19.174522496760964,17.1141846477977,32.86373645067869,6
35,23.573454603066892,21.41747854650447,115.51573634145838,46
36,28.09520662032255,23.3827525377237,134.4293653964786,37
37,25.08649385681269,23.433389961719982,54.5725035667528,38
38,23.237491298628825,22.711858972907443,40.5823829770169,46
39,46.96042495965966,43.764659017317605,76.7605412006531,20
40,27.315991328043097,25.01396074891145,42.51969963312995,34
41,40.2557523921129,38.08364644646049,70.7434451579937,24
42,55.19511952211995,51.617508530627035,88.18007290365067,19
43,31.82329899072675,28.220693171025165,50.809670090685465,30
