video_id,frame,track_id,class_id,class_name,conf,x1,y1,x2,y2,img_w,img_h,fps,center_x,center_y,vehicle_id,lane
video,0,1,2,car,0.4226264655590057,334.99761962890625,0.0,549.9080200195312,53.9784049987793,1920,1080,25.0,442.4528198242188,26.98920249938965,,
video,0,2,7,truck,0.3777192831039428,1058.2401123046875,0.0,1343.9849853515625,93.13865661621094,1920,1080,25.0,1201.112548828125,46.56932830810547,,
video,1,1,2,car,0.523621678352356,359.2206115722656,0.0,535.0780639648438,43.986061096191406,1920,1080,25.0,447.1493377685547,21.993030548095703,,
video,1,2,7,truck,0.518422544002533,1077.1246337890625,0.0,1305.3824462890625,74.0684585571289,1920,1080,25.0,1191.2535400390625,37.03422927856445,,
video,2,2,7,truck,0.352584570646286,1087.62353515625,0.0,1269.353271484375,58.19669342041016,1920,1080,25.0,1178.4884033203125,29.09834671020508,,
video,63,19,2,car,0.9104267954826356,1416.382080078125,843.5906372070312,1920.0,1078.2044677734375,1920,1080,25.0,1668.1910400390625,960.8975524902344,1.0,3.0
video,64,19,2,car,0.9279158711433412,1336.5072021484375,785.9733276367188,1920.0,1076.874267578125,1920,1080,25.0,1628.2536010742188,931.423797607422,1.0,3.0
video,65,19,2,car,0.9354462623596193,1247.74462890625,720.8040161132812,1920.0,1076.405517578125,1920,1080,25.0,1583.872314453125,898.6047668457031,1.0,3.0
video,66,19,2,car,0.946422815322876,1166.9747314453125,657.2933349609375,1920.0,1075.2659912109375,1920,1080,25.0,1543.4873657226562,866.2796630859375,1.0,3.0
video,67,19,2,car,0.9483590126037598,1096.08837890625,597.8375244140625,1920.0,1074.668701171875,1920,1080,25.0,1508.044189453125,836.2531127929688,1.0,3.0
video,68,19,2,car,0.9448521137237548,1036.8446044921875,543.6644287109375,1920.0,1074.697509765625,1920,1080,25.0,1478.4223022460938,809.1809692382812,1.0,3.0
video,69,19,2,car,0.9540223479270936,989.5865478515624,493.2920227050781,1920.0,1073.0662841796875,1920,1080,25.0,1454.7932739257812,783.1791534423828,1.0,3.0
video,70,19,2,car,0.955187201499939,963.255859375,446.64593505859375,1920.0,1059.902587890625,1920,1080,25.0,1441.6279296875,753.2742614746094,1.0,3.0
video,71,19,2,car,0.960162341594696,972.1336059570312,402.8120422363281,1920.0,1008.1875610351562,1920,1080,25.0,1446.0668029785156,705.4998016357422,1.0,3.0
