vehicle_id,pred_speed,frames_used
1.0,33.017236056732024,13
2.0,30.306129425676897,16
3.0,29.983494166340108,15
4.0,27.613911164957983,17
5.0,29.506946927557046,15
6.0,28.00903855216984,17
7.0,35.5384987712724,13
9.0,31.365681909662673,15
10.0,28.857392405906744,16
12.0,26.565977807990823,5
13.0,30.434999349151347,16
14.0,35.252203117577515,13
15.0,30.797024340729013,14
16.0,29.14754993913936,15
17.0,30.589101464409982,15
18.0,27.972209318989833,2
19.0,29.275751381159022,15
20.0,28.950376260437384,17
22.0,30.50612458770182,5
24.0,8.616398643853579,3
25.0,14.44552398434136,33
26.0,10.983091778734025,46
27.0,12.518735205105216,39
28.0,14.409964394555988,35
29.0,12.535945144023978,39
30.0,15.895877887371592,30
31.0,17.752550648347015,28
32.0,17.953019637174908,28
33.0,14.01811006264406,35
34.0,21.029385917664513,22
36.0,15.604146971103894,31
37.0,34.931637803819676,13
38.0,14.881795257171294,33
39.0,29.311722117326152,5
40.0,28.040624155895593,17
41.0,17.65696800683066,22
42.0,30.180646800060654,15
43.0,28.36917176722798,5
44.0,28.53407600173866,16
45.0,30.273654883155956,14
46.0,25.50027783888281,2
47.0,27.835975813315216,17
48.0,29.182973186148445,16
49.0,30.18621613498623,5
50.0,27.554410077912326,18
51.0,23.33343319808713,21
52.0,26.08820823502347,15
53.0,24.793054521838243,19
54.0,25.073475291290666,7
55.0,31.003676706393644,14
56.0,33.2575553147721,9
57.0,29.641052554272083,16
58.0,29.635857345154466,15
59.0,30.86982810733699,15
60.0,31.421430754084298,13
62.0,33.556999137266736,13
63.0,32.171465678929515,14
64.0,28.891052280470312,17
65.0,31.596544973530413,14
66.0,32.26437579033908,14
68.0,14.38327047117467,35
69.0,11.307118264724462,44
70.0,15.767996437225062,28
72.0,20.164206752434094,24
73.0,15.651205544265212,31
74.0,26.796688240361146,17
75.0,22.278535493264766,23
76.0,17.05937658409487,26
77.0,23.859443748765145,20
78.0,31.703340347953983,4
79.0,19.86857931850828,25
80.0,25.09972963192159,20
81.0,20.30633023442154,21
82.0,23.616636229965263,19
83.0,21.11879209027983,21
84.0,27.371499759237008,16
85.0,21.851033211713958,21
86.0,24.28093844241285,18
87.0,28.396166740629543,16
88.0,25.02951059552188,19
89.0,26.02136045669571,19
90.0,29.065137098917155,15
92.0,31.442021113241164,14
94.0,31.818620340107053,15
95.0,28.99628113503668,17
96.0,26.862374759427603,17
97.0,28.058034187418382,15
98.0,31.934611430241596,12
99.0,30.441690790145525,9
100.0,30.22227917728781,16
101.0,32.27389579130947,12
102.0,29.130196148889695,9
103.0,29.54672040604609,14
104.0,29.26856856499638,15
105.0,31.90523475101609,15
106.0,29.173366064050615,15
107.0,32.00728380622842,14
108.0,28.272250140228156,17
109.0,29.203058313791903,15
110.0,30.363261454739273,15
