vehicle_id,raw_speed,frames,gt_speed,final_speed,error_raw,error_final
1,33.017236056732024,13,56.65,56.88585911502558,-23.632763943267975,0.23585911502558332
2,30.306129425676897,16,53.74,52.214855473321045,-23.433870574323105,-1.5251445266789574
3,29.983494166340108,15,52.13,51.65898265959925,-22.146505833659894,-0.47101734040074916
4,27.613911164957983,17,49.06,47.57639486980457,-21.44608883504202,-1.4836051301954356
5,29.50694692755705,15,50.51,50.83793273765885,-21.00305307244295,0.32793273765885544
6,28.00903855216984,17,48.89,48.257165387445724,-20.88096144783016,-0.6328346125542765
7,35.5384987712724,13,59.57,61.22977801014059,-24.0315012287276,1.6597780101405917
9,31.365681909662676,15,56.01,54.040373309684604,-24.644318090337322,-1.969626690315394
10,28.857392405906744,16,51.12,49.71880614139753,-22.262607594093254,-1.4011938586024684
12,26.565977807990823,5,48.44,45.77089579035587,-21.874022192009175,-2.669104209644125
13,30.434999349151347,16,51.92,52.43688727205596,-21.485000650848654,0.5168872720559605
14,35.252203117577515,13,58.33,60.73651521269299,-23.077796882422483,2.4065152126929945
15,30.797024340729013,14,53.55,53.06062520795162,-22.752975659270984,-0.4893747920483804
16,29.14754993913936,15,52.86,50.218722625268946,-23.71245006086064,-2.641277374731054
17,30.589101464409985,15,54.23,52.70239196793262,-23.64089853559001,-1.527608032067377
18,27.972209318989837,2,50.59,48.19371178501843,-22.617790681010167,-2.396288214981574
19,29.275751381159026,15,50.06,50.43960268792903,-20.784248618840977,0.3796026879290295
20,28.950376260437384,17,52.39,49.87900932859689,-23.439623739562617,-2.510990671403114
22,30.50612458770182,5,54.76,52.55942994318545,-24.25387541229818,-2.2005700568145485
24,8.616398643853579,3,16.69,14.845314080528953,-8.073601356146423,-1.8446859194710488
25,14.44552398434136,33,23.19,24.88839589128528,-8.744476015658641,1.69839589128528
26,10.983091778734025,46,19.33,18.92292287879348,-8.346908221265974,-0.4070771212065196
27,12.518735205105216,39,22.13,21.56870447763374,-9.611264794894783,-0.5612955223662581
28,14.409964394555988,35,24.87,24.827129775271118,-10.460035605444013,-0.042870224728883244
29,12.535945144023978,39,21.02,21.598355722790323,-8.484054855976021,0.5783557227903238
30,15.895877887371592,30,27.55,27.387230974056635,-11.654122112628409,-0.16276902594336562
31,17.752550648347015,28,30.53,30.586118516371627,-12.777449351652987,0.056118516371626015
32,17.953019637174908,28,31.31,30.931509349080958,-13.356980362825091,-0.37849065091904066
33,14.01811006264406,35,23.36,24.151998450515382,-9.341889937355939,0.7919984505153828
34,21.029385917664516,22,35.56,36.23182396407324,-14.530614082335486,0.6718239640732406
36,15.604146971103894,31,26.54,26.884603686485182,-10.935853028896105,0.3446036864851827
37,34.93163780381968,13,57.07,60.18420873724306,-22.138362196180317,3.114208737243061
38,14.881795257171294,33,25.78,25.64005378655833,-10.898204742828707,-0.13994621344167157
39,29.311722117326152,5,50.59,50.50157717381122,-21.27827788267385,-0.08842282618878272
40,28.040624155895596,17,48.86,48.31158466713707,-20.819375844104403,-0.5484153328629304
41,17.65696800683066,22,29.12,30.42143784262296,-11.463031993169341,1.3014378426229598
42,30.180646800060654,15,51.02,51.998659697577615,-20.83935319993935,0.9786596975776121
43,28.36917176722798,5,50.03,48.87764395504107,-21.660828232772023,-1.1523560449589283
44,28.53407600173866,16,48.42,49.16175977369189,-19.88592399826134,0.7417597736918893
45,30.27365488315596,14,51.11,52.158904628510875,-20.83634511684404,1.0489046285108756
46,25.50027783888281,2,44.33,43.934786365648144,-18.82972216111719,-0.39521363435185464
47,27.835975813315216,17,46.94,47.958993167226296,-19.104024186684782,1.0189931672262986
48,29.182973186148445,16,51.53,50.27975383440145,-22.347026813851556,-1.2502461655985542
49,30.18621613498623,5,50.03,52.008255182838596,-19.843783865013773,1.9782551828385948
50,27.55441007791233,18,48.87,47.4738796123477,-21.315589922087668,-1.3961203876522958
51,23.33343319808713,21,40.72,40.201499340996705,-17.38656680191287,-0.5185006590032941
52,26.08820823502347,15,46.56,44.94773989170441,-20.471791764976533,-1.6122601082955939
53,24.793054521838243,19,43.53,42.7163013929166,-18.736945478161758,-0.8136986070834027
54,25.073475291290663,7,42.23,43.199442269899386,-17.156524708709334,0.969442269899389
55,31.003676706393644,14,52.97,53.41666946734346,-21.966323293606354,0.4466694673434617
56,33.2575553147721,9,56.6,57.299908535516295,-23.342444685227903,0.6999085355162933
57,29.641052554272083,16,53.87,51.06898520294503,-24.228947445727915,-2.801014797054968
58,29.635857345154463,15,50.06,51.06003430428621,-20.42414265484554,1.0000343042862099
59,30.86982810733699,15,51.47,53.18605983861507,-20.60017189266301,1.7160598386150738
60,31.421430754084295,13,55.25,54.13642377569407,-23.828569245915705,-1.1135762243059304
62,33.556999137266736,13,56.96,57.81582449741043,-23.403000862733265,0.8558244974104312
63,32.171465678929515,14,56.86,55.428669467998006,-24.688534321070485,-1.4313305320019936
64,28.891052280470312,17,49.07,49.77679921140989,-20.17894771952969,0.7067992114098871
65,31.596544973530413,14,54.43,54.438130520599465,-22.833455026469586,0.008130520599465285
66,32.26437579033908,14,56.86,55.58874560213971,-24.59562420966092,-1.2712543978602895
68,14.38327047117467,35,24.78,24.781138440257862,-10.39672952882533,0.0011384402578613617
