vehicle_id,lane,speed,frame_start,frame_end,initial_frame,x,y,w,h,moto,plate,radar,sema
1,3,19.52,18,58,18,1588,854,125,50,False,True,True,True
2,1,23.42,38,78,38,29,890,118,53,False,True,True,True
3,3,23.5,226,266,226,1616,912,118,50,False,True,True,True
4,1,49.76,323,363,323,56,854,128,53,False,True,True,False
5,1,50.6,384,424,384,28,906,137,40,False,True,True,False
6,3,44.41,388,428,388,1646,914,120,49,False,True,True,False
7,2,55.5,415,455,415,802,902,130,42,False,True,True,False
8,2,52.17,470,510,470,736,942,140,56,False,True,True,False
9,3,50.94,493,533,493,1665,921,117,50,False,True,True,False
10,2,49.86,522,562,522,909,910,117,41,False,True,True,False
11,1,56.53,554,594,554,78,897,109,46,False,False,True,False
12,2,48.86,558,598,558,865,932,132,46,False,True,True,False
13,3,54.76,568,608,568,1662,897,109,42,False,True,True,False
14,2,50.63,598,638,598,844,945,126,49,False,True,True,False
15,3,54.51,612,652,612,1732,908,121,53,False,True,True,False
16,1,56.12,615,655,615,42,890,132,48,False,True,True,False
17,2,49.94,631,671,631,812,905,122,38,False,True,True,False
18,2,59.95,753,793,753,825,906,124,52,False,True,True,False
19,2,52.54,826,866,826,840,929,122,46,False,True,True,False
20,3,55.95,835,875,835,1756,900,121,49,False,True,True,False
21,3,54.55,868,908,868,1605,949,140,41,False,True,True,False
22,2,56.29,890,930,890,813,910,124,40,False,True,True,False
23,3,50.46,944,984,944,1609,901,121,46,False,True,True,False
24,2,49.39,979,1019,979,792,897,117,44,False,True,True,False
25,1,55.4,994,1034,994,65,946,120,49,False,True,True,False
26,3,48.19,1029,1069,1029,1706,917,114,45,False,True,True,False
27,2,52.99,1042,1082,1042,772,938,121,41,False,True,True,False
28,3,48.28,1062,1102,1062,1712,826,120,44,False,True,True,False
29,2,53.99,1068,1108,1068,642,880,130,44,False,True,True,False
30,2,51.51,1099,1139,1099,966,949,133,46,False,True,True,False
31,3,54.58,1182,1222,1182,1572,908,126,33,False,True,True,False
32,2,55.82,1513,1553,1513,852,898,122,40,False,True,True,False
33,3,26.44,2619,2659,2619,1609,918,105,40,False,True,True,True
34,2,50.45,2739,2779,2739,746,910,130,41,False,False,True,False
35,2,61.18,2801,2841,2801,842,952,144,48,False,True,True,False
36,3,55.69,2832,2872,2832,1677,925,109,38,False,True,True,False
37,3,52.34,2869,2909,2869,1704,890,132,46,False,True,True,False
38,2,42.37,2966,3006,2966,873,948,126,45,False,True,True,False
39,2,41.23,3011,3051,3011,864,908,126,38,False,True,True,False
40,1,54.76,3029,3069,3029,118,902,121,45,False,True,True,False
41,2,38.82,3057,3097,3057,944,912,125,45,False,True,True,False
42,3,53.85,3058,3098,3058,1770,894,114,45,False,True,True,False
43,2,39.15,3081,3121,3081,862,929,125,44,False,True,True,False
44,3,51.14,3099,3139,3099,1778,854,113,40,False,True,True,False
45,1,52.51,3102,3142,3102,13,830,94,40,False,True,True,False
46,3,47.15,3122,3162,3122,1493,749,62,53,True,True,True,False
47,1,52.57,3212,3252,3212,94,885,125,56,False,True,True,False
48,3,49.09,3229,3269,3229,1680,936,128,50,False,True,True,False
49,3,47.2,3258,3298,3258,1736,886,116,44,False,True,True,False
50,2,49.76,3262,3302,3262,680,910,121,42,False,True,True,False
51,3,46.52,3318,3358,3318,1626,924,124,40,False,True,True,False
52,3,47.28,3368,3408,3368,1688,940,108,34,False,True,True,False
53,2,51.6,3381,3421,3381,876,926,117,40,False,True,True,False
54,3,50.17,3416,3456,3416,1517,884,114,37,False,True,True,False
55,1,38.69,3421,3461,3421,101,912,148,36,False,True,True,False
56,3,49.42,3465,3505,3465,1748,893,132,48,False,True,True,False
57,3,50.17,3492,3532,3492,1653,904,126,36,False,True,True,False
58,1,39.17,3507,3547,3507,124,900,118,48,False,True,True,False
59,2,46.53,3685,3725,3685,816,889,130,37,False,True,True,False
60,3,51.13,3742,3782,3742,1722,889,125,49,False,True,True,False
61,2,44.5,3751,3791,3751,866,880,128,36,False,True,True,False
62,1,47.76,3772,3812,3772,32,961,148,36,False,True,True,False
63,1,49.33,3815,3855,3815,112,868,130,45,False,True,True,False
64,3,50.77,3865,3905,3865,1642,829,116,37,False,True,True,False
65,1,50.75,3866,3906,3866,194,870,62,40,True,True,True,False
66,2,56.42,3872,3912,3872,806,922,120,41,False,True,True,False
67,3,51.28,3894,3934,3894,1648,902,113,44,False,True,True,False
68,3,20.44,5027,5067,5027,1657,922,120,38,False,True,True,True
69,2,20.9,5041,5081,5041,774,928,136,36,False,True,True,True
70,2,25.72,5102,5142,5102,802,944,114,36,False,True,True,False
71,3,22.73,5109,5149,5109,1754,945,124,34,False,True,True,False
72,1,23.52,5117,5157,5117,29,840,106,40,False,True,True,True
73,1,23.47,5158,5198,5158,62,932,129,36,False,True,True,False
74,2,31.15,5163,5203,5163,894,889,120,36,False,True,True,False
75,3,28.96,5174,5214,5174,1761,886,128,42,False,True,True,False
76,1,23.03,5182,5222,5182,172,937,69,46,True,True,True,False
77,3,30.03,5223,5263,5223,1698,910,113,38,False,True,True,False
78,2,33.52,5227,5267,5227,961,956,127,44,False,True,True,False
79,1,28.46,5246,5286,5246,124,900,105,34,False,False,True,False
80,2,33.26,5287,5327,5287,806,953,118,40,False,True,True,False
81,3,32.4,5300,5340,5300,1653,916,122,44,False,True,True,False
82,3,34.6,5367,5407,5367,1756,886,132,49,False,True,True,False
83,3,37.91,5413,5453,5413,1694,802,122,40,False,True,True,False
84,2,44.13,5427,5467,5427,836,910,122,40,False,True,True,False
85,2,42.85,5476,5516,5476,782,874,133,36,False,True,True,False
86,3,39.29,5484,5524,5484,1648,882,112,49,False,True,True,False
87,3,42.68,5532,5572,5532,1614,928,116,46,False,True,True,False
88,2,41.97,5598,5638,5598,870,928,132,45,False,True,True,False
89,1,45.6,5606,5646,5606,2,840,104,44,False,True,True,False
90,3,50.61,5664,5704,5664,1772,932,112,40,False,True,True,False
91,2,48.22,5678,5718,5678,824,866,113,37,False,True,True,False
92,3,45.81,5723,5763,5723,1676,926,114,44,False,True,True,False
93,2,45.75,5738,5778,5738,748,918,112,37,False,True,True,False
94,2,43.91,5775,5815,5775,734,925,132,48,False,True,True,False
95,3,45.46,5783,5823,5783,1816,842,104,40,False,True,True,False
96,2,49.22,5826,5866,5826,974,933,137,48,False,True,True,False
97,3,45.53,5837,5877,5837,1649,881,122,49,False,True,True,False
98,1,39.17,5885,5925,5885,153,854,115,42,False,True,True,False
99,3,46.99,5931,5971,5931,1589,901,125,38,False,True,True,False
100,2,49.06,5957,5997,5957,817,858,118,42,False,True,True,False
101,2,45.92,5995,6035,5995,902,866,133,42,False,True,True,False
102,2,43.61,6025,6065,6025,1012,968,136,45,False,True,True,False
103,3,54.07,6028,6068,6028,1781,766,124,45,False,True,True,False
104,3,56.05,6154,6194,6154,1505,836,116,44,False,True,True,False
105,3,46.47,6217,6257,6217,1565,733,113,42,False,True,True,False
