vehicle_id,lane,speed,frame_start,frame_end,initial_frame,x,y,w,h,moto,plate,radar,sema
1,3,56.65,71,111,71,1632,930,106,35,False,True,True,False
2,3,53.74,107,147,107,1563,896,103,27,False,True,True,False
3,2,52.13,187,227,187,880,926,108,28,False,True,True,False
4,3,49.06,245,285,245,1722,892,103,32,False,True,True,False
5,2,50.51,253,293,253,843,938,103,28,False,True,True,False
6,3,48.89,275,315,275,1644,932,104,24,False,True,True,False
7,1,59.57,281,321,281,128,863,107,21,False,True,True,False
8,2,48.83,295,335,295,850,883,107,30,False,True,True,False
9,3,56.01,314,354,314,1702,841,96,35,False,True,True,False
10,3,51.12,373,413,373,1672,833,93,30,False,True,True,False
11,2,49.16,384,424,384,850,865,108,24,False,True,True,False
12,2,48.44,414,454,414,1080,866,151,28,False,False,True,False
13,1,51.92,436,476,436,78,897,106,34,False,True,True,False
14,2,58.33,478,518,478,891,940,106,30,False,True,True,False
15,2,53.55,575,615,575,860,881,96,25,False,True,True,False
16,3,52.86,708,748,708,1782,784,101,27,False,True,True,False
17,3,54.23,750,790,750,1604,840,96,28,False,True,True,False
18,1,50.59,757,797,757,37,858,108,31,False,True,True,False
19,1,50.06,806,846,806,155,872,96,28,False,True,True,False
20,3,52.39,867,907,867,1790,891,107,28,False,True,True,False
21,2,50.84,869,909,869,792,874,104,26,False,True,True,False
22,3,54.76,936,976,936,1591,862,102,32,False,True,True,False
23,2,21.51,2129,2169,2129,527,610,42,33,True,True,True,True
24,3,16.69,2157,2197,2157,1423,548,81,27,False,True,True,True
25,1,23.19,2162,2202,2162,43,842,104,28,False,True,True,False
26,2,19.33,2167,2207,2167,845,868,105,33,False,True,True,True
27,3,22.13,2222,2262,2222,1652,861,107,28,False,True,True,False
28,2,24.87,2265,2305,2265,853,893,103,27,False,True,True,False
29,1,21.02,2271,2311,2271,43,818,102,23,False,True,True,False
30,3,27.55,2289,2329,2289,1671,887,98,31,False,True,True,False
31,2,30.53,2319,2359,2319,871,891,107,31,False,True,True,False
32,3,31.31,2332,2372,2332,1617,873,100,31,False,True,True,False
33,1,23.36,2337,2377,2337,130,882,104,30,False,True,True,False
34,3,35.56,2389,2429,2389,1661,895,97,35,False,True,True,False
35,1,29.68,2404,2444,2404,87,900,105,24,False,True,True,False
36,1,26.54,2463,2503,2463,86,912,108,27,False,True,True,False
37,2,57.07,2505,2545,2505,923,843,114,32,False,True,True,False
38,1,25.78,2539,2579,2539,65,861,104,33,False,True,True,False
39,2,50.59,2569,2609,2569,934,896,103,23,False,True,True,False
40,3,48.86,2579,2619,2579,1597,885,105,26,False,True,True,False
41,1,29.12,2597,2637,2597,93,877,106,28,False,True,True,False
42,2,51.02,2612,2652,2612,833,876,113,32,False,True,True,False
43,3,50.03,2625,2665,2625,1592,843,102,30,False,True,True,False
44,2,48.42,2665,2705,2665,804,836,94,25,False,True,True,False
45,2,51.11,2727,2767,2727,545,846,104,34,False,True,True,False
46,2,44.33,2760,2800,2760,748,884,103,30,False,True,True,False
47,1,46.94,2798,2838,2798,146,918,112,25,False,True,True,False
48,3,51.53,2802,2842,2802,1703,853,104,26,False,False,True,False
49,2,50.03,2860,2900,2860,750,855,108,31,False,True,True,False
50,3,48.87,2878,2918,2878,1751,917,98,23,False,True,True,False
51,1,40.72,2906,2946,2906,85,894,113,28,False,True,True,False
52,3,46.56,2919,2959,2919,1670,871,96,28,False,True,True,False
53,3,43.53,2953,2993,2953,1624,885,101,30,False,True,True,False
54,2,42.23,3034,3074,3034,764,882,114,30,False,True,True,False
55,2,52.97,3101,3141,3101,961,882,107,26,False,True,True,False
56,3,56.6,3179,3219,3179,1733,812,95,32,False,True,True,False
